name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BMBF,BMFTR,2017-01-01,0,0,0,0,0,0,0,1
BKM,BKM,2017-01-01,54,0,39,3,1,10,1,1
BKM,BKM,2017-01-01,10,0,3,2,4,1,0,0
BMZ,BMZ,2017-01-01,87,0,19,5,6,44,4,1
BPA,BPA,2017-01-01,67,1,23,0,3,41,0,0
BPrA,BPrA,2017-01-01,52,0,12,3,2,35,0,0
BT,BT,2017-01-01,1982,3,81,10,74,1482,0,5
BR,BR,2017-01-01,23,0,19,1,0,4,0,0
BBank,BBank,2017-01-01,38,0,27,0,10,0,0,2
BVerfG,BVerfG,2017-01-01,17,0,2,4,3,5,0,0
BfDI,BfDI,2017-01-01,116,1,61,2,4,27,0,0
BRH,BRH,2017-01-01,5,0,2,1,0,2,0,0
BK,BK,2018-01-01,154,5,12,17,54,78,15,16
BK,BK,2018-01-01,9,0,0,0,9,0,0,0
BMAS,BMAS,2018-01-01,56,0,25,7,6,18,2,3
BMAS,BMAS,2018-01-01,1231,3,1049,28,47,102,18,11
AA,AA,2018-01-01,434,3,100,87,32,282,75,14
AA,AA,2018-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2018-01-01,332,2,128,35,67,102,12,16
BMI,BMI,2018-01-01,1891,3,1609,58,80,134,12,23
BMJV,BMJ,2018-01-01,178,3,39,22,14,106,15,11
BMJV,BMJ,2018-01-01,90,1,46,11,12,21,16,2
BMF,BMF,2018-01-01,173,1,47,10,42,101,10,10
BMF,BMF,2018-01-01,3142,5,2233,39,102,688,807,21
BMWi,BMWE,2018-01-01,213,5,53,20,37,100,10,11
BMWi,BMWE,2018-01-01,877,10,361,82,115,303,20,9
BMEL,BMLEH,2018-01-01,74,3,20,11,31,14,4,2
BMEL,BMLEH,2018-01-01,88,1,52,16,12,10,29,2
BMVg,BMVg,2018-01-01,209,0,82,26,17,79,0,2
BMVg,BMVg,2018-01-01,36,1,13,6,12,4,3,1
BMFSFJ,BMBFSFJ,2018-01-01,82,2,21,13,30,16,1,3
BMFSFJ,BMBFSFJ,2018-01-01,15,0,6,0,6,3,0,0
BMG,BMG,2018-01-01,118,2,49,11,12,48,10,2
BMG,BMG,2018-01-01,167,1,63,18,22,49,9,4
BMVI,BMV,2018-01-01,25,1,10,4,8,6,12,3
BMVI,BMV,2018-01-01,539,5,286,74,54,113,17,25
BMU,BMUKN,2018-01-01,49,0,39,3,3,2,0,3
BMU,BMUKN,2018-01-01,37,0,27,0,6,3,0,0
BMBF,BMFTR,2018-01-01,101,0,49,8,1,42,3,0
BMBF,BMFTR,2018-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2018-01-01,33,0,10,2,0,16,0,0
BKM,BKM,2018-01-01,18,0,11,1,1,1,1,0
BMZ,BMZ,2018-01-01,80,0,21,3,7,66,1,0
BPA,BPA,2018-01-01,32,0,13,1,1,15,0,0
